"uid";"email";"password";"mobile";"user_type";"reg_date"
"13";"amit.kumar@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"9876543210";"Vendor";"2023-07-28 16:21:27"
"14";"priya.sharma@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"8765432109";"Vendor";"2023-07-28 16:24:05"
"15";"rahul.verma@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"7890123456";"Vendor";"2023-07-28 16:24:52"
"16";"neha.singh@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"9012345678";"Vendor";"2023-07-28 16:25:24"
"17";"mohit.gupta@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"8901234567";"Vendor";"2023-07-28 16:25:50"
"18";"ananya.patel@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"7654321098";"Vendor";"2023-07-28 16:26:11"
"19";"vikram.yadav@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"8765430987";"Vendor";"2023-07-28 16:26:32"
"20";"sneha.mishra@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"7890127654";"Vendor";"2023-07-28 16:27:01"
"21";"amrita.joshi@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"9012354321";"Vendor";"2023-07-28 16:27:23"
"22";"sumit.chopra@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"8901265432";"Vendor";"2023-07-28 16:27:39"
"23";"nisha.shah@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"7654312345";"Customer";"2023-07-28 16:28:01"
"24";"ravi.kumar@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"8765498765";"Customer";"2023-07-28 16:28:25"
"25";"riya.pandey@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"7890187654";"Customer";"2023-07-28 16:28:47"
"26";"vishal.singh@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"9012376543";"Customer";"2023-07-28 16:29:07"
"27";"meera.sharma@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"8901265432";"Customer";"2023-07-28 16:29:33"
"28";"arpit@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"6425786532";"Customer";"2023-07-29 06:39:43"
"29";"jatin.mahajan@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"9012365432";"Customer";"2023-07-29 11:16:55"
"30";"pooja.malhotra@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"8765443210";"Customer";"2023-07-29 11:17:39"
"31";"karan.singh@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"7654354321";"Customer";"2023-07-29 11:18:04"
"32";"sanya.das@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"8901254321";"Customer";"2023-07-29 11:18:26"
"33";"rohit.verma@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"7890132109";"Customer";"2023-07-29 11:18:59"
"34";"aarav.kumar@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"9876543210";"Customer";"2023-07-29 11:19:53"
"35";"riya.verma@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"8765432109";"Customer";"2023-07-29 11:20:21"
"36";"arjun.singhania@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"7654321098";"Customer";"2023-07-29 11:20:45"
"37";"nisha.patel@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"6543210987";"Customer";"2023-07-29 11:21:03"
"38";"rajesh.sharma@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"5432109876";"Customer";"2023-07-29 11:22:23"
"39";"sanya.mishra@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"4321098765";"Customer";"2023-07-29 11:22:42"
"40";"siddharth.reddy@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"3210987654";"Customer";"2023-07-29 11:23:01"
"41";"kavya.singh@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"2109876543";"Customer";"2023-07-29 11:23:54"
"42";"vishal.gupta@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"1098765432";"Customer";"2023-07-29 11:24:26"
"43";"aisha.khan@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"9876543210";"Customer";"2023-07-29 11:24:47"
"44";"rohan.yadav@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"8765432109";"Customer";"2023-07-29 11:25:11"
"45";"alisha.menon@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"7654321098";"Customer";"2023-07-29 11:25:39"
"46";"rishi.shah@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"6543210987";"Customer";"2023-07-29 11:26:01"
"47";"kirti.desai@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"5432109876";"Customer";"2023-07-29 11:26:39"
"48";"vikram.singh@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"4321098765";"Customer";"2023-07-29 11:27:05"
"49";"nandini.sahu@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"3210987654";"Customer";"2023-07-29 11:27:28"
"50";"sameer.khan@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"2109876543";"Customer";"2023-07-29 11:27:49"
"51";"reena.sharma@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"1098765432";"Customer";"2023-07-29 11:28:20"
"52";"anand.gupta@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"9876543210";"Customer";"2023-07-29 11:28:47"
"53";"ishaan.mehta@gmail.com";"e337bf43a0ed9507e3ca5ad9686e2df9";"8765432109";"Customer";"2023-07-29 12:22:06"
