"uid";"fname";"lname";"dob";"age";"brand";"reg_date"
"13";"Amit ";"kumar";"1985-06-13";"38";"Fashion Frenzy ";"2023-07-28 17:00:06"
"14";"Priya";"Sharma";"1988-02-18";"35";"Comfort Homes";"2023-07-28 17:02:25"
"15";"Rahul";"Verma";"1991-08-16";"31";"Book Haven";"2023-07-28 17:04:10"
"16";"Neha";"Singh";"1984-07-12";"39";"ElectroTech";"2023-07-28 17:37:11"
"17";"Mohit";"Gupta";"1986-03-16";"37";"Active Athletes";"2023-07-28 17:38:52"
"18";"Ananya";"Patel";"1993-01-30";"30";"Fresh Mart ";"2023-07-28 17:40:28"
"19";"Vikram";"Yadav";"1994-10-12";"28";"HomeTech Hub ";"2023-07-28 17:55:45"
"20";"Sneha";"Mishra";"1981-02-14";"42";"ToyLandia";"2023-07-28 17:57:11"
"21";"Amrita";"Joshi";"1975-11-02";"47";"StyleSpot - Category: Fashion";"2023-07-28 17:58:59"
"22";"Sumit";"Chopra";"1979-09-15";"43";"Fitness World - Category: Sports & Fitness";"2023-07-28 18:00:23"
